RM1,RM2,RT1,RT2,T
28.191,9989.78,39990,10000,0.01
56.3821,9979.6,39980,10000,0.02
84.5731,9969.46,39970,10000,0.03
112.764,9959.35,39960,10000,0.04
140.955,9949.29,39950,10000,0.05
169.146,9939.26,39940,10000,0.06
197.337,9929.27,39930,10000,0.07
225.528,9919.33,39920,10000,0.08
253.718,9909.42,39910,10000,0.09
281.909,9899.54,39900,10000,0.1
310.099,9889.71,39890,10000,0.11
338.29,9879.92,39880,10000,0.12
366.48,9870.16,39870,10000,0.13
394.67,9860.44,39860,10000,0.14
422.86,9850.76,39850,10000,0.15
451.05,9841.12,39840,10000,0.16
479.24,9831.52,39830,10000,0.17
507.429,9821.95,39820,10000,0.18
535.619,9812.42,39810,10000,0.19
563.808,9802.93,39800,10000,0.2
591.997,9793.48,39790,10000,0.21
620.186,9784.06,39780,10000,0.22
648.374,9774.68,39770,10000,0.23
676.563,9765.34,39760,10000,0.24
704.751,9756.04,39750,10000,0.25
732.939,9746.77,39740,10000,0.26
761.127,9737.55,39730,10000,0.27
789.314,9728.35,39720,10000,0.28
817.501,9719.2,39710,10000,0.29
845.688,9710.08,39700,10000,0.3
873.875,9701,39690,10000,0.31
902.061,9691.96,39680,10000,0.32
930.247,9682.95,39670,10000,0.33
958.433,9673.98,39660,10000,0.34
986.618,9665.05,39650,10000,0.35
1014.8,9656.15,39640,10000,0.36
1042.99,9647.29,39630,10000,0.37
1071.17,9638.46,39620,10000,0.38
1099.36,9629.68,39610,10000,0.39
1127.54,9620.92,39600,10000,0.4
1155.72,9612.21,39590,10000,0.41
1183.91,9603.53,39580,10000,0.42
1212.09,9594.89,39570,10000,0.43
1240.27,9586.28,39560,10000,0.44
1268.45,9577.71,39550,10000,0.45
1296.64,9569.17,39540,10000,0.46
1324.82,9560.67,39530,10000,0.47
1353,9552.21,39520,10000,0.48
1381.18,9543.78,39510,10000,0.49
1409.36,9535.38,39500,10000,0.5
1437.54,9527.02,39490,10000,0.51
1465.72,9518.7,39480,10000,0.52
1493.9,9510.41,39470,10000,0.53
1522.07,9502.16,39460,10000,0.54
1550.25,9493.95,39450,10000,0.55
1578.43,9485.76,39440,10000,0.56
1606.6,9477.62,39430,10000,0.57
1634.78,9469.5,39420,10000,0.58
1662.96,9461.43,39410,10000,0.59
1691.13,9453.38,39400,10000,0.6
1719.31,9445.38,39390,10000,0.61
1747.48,9437.4,39380,10000,0.62
1775.65,9429.46,39370,10000,0.63
1803.83,9421.56,39360,10000,0.64
1832,9413.69,39350,10000,0.65
1860.17,9405.85,39340,10000,0.66
1888.34,9398.05,39330,10000,0.67
1916.52,9390.29,39320,10000,0.68
1944.69,9382.55,39310,10000,0.69
1972.86,9374.85,39300,10000,0.7
2001.02,9367.19,39290,10000,0.71
2029.19,9359.56,39280,10000,0.72
2057.36,9351.96,39270,10000,0.73
2085.53,9344.4,39260,10000,0.74
2113.7,9336.87,39250,10000,0.75
2141.86,9329.37,39240,10000,0.76
2170.03,9321.91,39230,10000,0.77
2198.19,9314.48,39220,10000,0.78
2226.36,9307.09,39210,10000,0.79
2254.52,9299.72,39200,10000,0.8
2282.69,9292.39,39190,10000,0.81
